Event Id,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft damage,Aircraft Category,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of flight,Air carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad phase of flight,City,State,Year,Month,Day,Number of Passengers,Survival rate
20190903X30852,2019-09-03,"Mack, CO",United States,Mack Mesa,Non-Fatal,Substantial,Airplane,Jackson,Velocity,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,,Mack, CO,2019,9,3,1.0,1.0
20191003X13056,2019-10-03,"Lansing, MI",United States,Capital Region International,Fatal,Substantial,Airplane,Socata,TBM 700,No,1.0,Turbo Prop,Business,N700AQ LLC,5.0,0.0,1.0,0.0,IMC,,Lansing, MI,2019,10,3,6.0,0.16666666666666666
20191005X82852,2019-10-05,"Kokomo, IN",United States,Kokomo Municipal Airport,Fatal,Destroyed,Airplane,Piper,AEROSTAR 602P,No,2.0,Reciprocating,Business,Pilot,1.0,0.0,0.0,0.0,VMC,,Kokomo, IN,2019,10,5,1.0,0.0
20191023X23030,2019-10-23,"Hebbronville, TX",United States,,Fatal,Destroyed,Helicopter,Robinson,R22 Beta,No,1.0,Reciprocating,Business,South Texas Helicopters Inc,2.0,0.0,1.0,1.0,VMC,,Hebbronville, TX,2019,10,23,4.0,0.5
20191031X31506,2019-10-31,"New Braunfels, TX",United States,,Non-Fatal,Minor,Airplane,Beech,200,No,2.0,Turbo Prop,Business,RPM Consulting LLC,0.0,0.0,1.0,1.0,VMC,,New Braunfels, TX,2019,10,31,2.0,1.0
20191109X41322,2019-11-09,"Salt Lake City, UT",United States,Salt Lake City Intl,Non-Fatal,Substantial,Airplane,Piper,PA60,No,2.0,Reciprocating,Business,Medical Management Inc,0.0,0.0,0.0,1.0,VMC,,Salt Lake City, UT,2019,11,9,1.0,1.0
20191120X01106,2019-11-20,"San Marcos, TX",United States,San Marcos,Fatal,Destroyed,Airplane,Raytheon,A36,No,1.0,Reciprocating,Business,Caroline Aviation Llc,1.0,0.0,0.0,0.0,IMC,,San Marcos, TX,2019,11,20,1.0,0.0
20200206X90234,2020-02-06,"Chatham, LA",United States,Ruston Regional Airport,Fatal,Destroyed,Airplane,Cessna,182,No,1.0,Reciprocating,Business,,3.0,0.0,0.0,0.0,VMC,,Chatham, LA,2020,2,6,3.0,0.0
20200213X92852,2020-02-13,"Broomfield, CO",United States,Rocky Mountain Metropolitan,Non-Fatal,Substantial,Airplane,Piaggio,P180,No,2.0,Turbo Prop,Business,,0.0,0.0,0.0,4.0,IMC,,Broomfield, CO,2020,2,13,4.0,1.0
20200214X65852,2020-02-14,"Marfa, TX",United States,,Non-Fatal,Substantial,Helicopter,Robinson,R44,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,,Marfa, TX,2020,2,14,1.0,1.0
20200413X74513,2020-04-09,"Fort Myers, FL",United States,PAGE FIELD,Non-Fatal,Substantial,Helicopter,Aerospatiale,SA341,No,,Turbo Shaft,Business,Ross Transportation Inc,0.0,0.0,0.0,1.0,VMC,,Fort Myers, FL,2020,4,9,1.0,1.0
20200423X81031,2020-04-23,"Mesquite, TX",United States,Mesquite Metro,Non-Fatal,Substantial,Airplane,Pilatus,PC12,No,1.0,Turbo Prop,Business,Boutique Air,0.0,0.0,1.0,0.0,VMC,,Mesquite, TX,2020,4,23,1.0,1.0
20200610X83452,2020-06-10,"Selma, AL",United States,Craig Field,Fatal,Destroyed,Airplane,Piper,PA32RT,No,1.0,Reciprocating,Business,,2.0,0.0,0.0,0.0,VMC,,Selma, AL,2020,6,10,2.0,0.0
20200622X22057,2020-06-20,"Cambridge, OH",United States,Cambridge Municipal Airport,Non-Fatal,Substantial,Airplane,Great Lakes,2T 1A,No,,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,,Cambridge, OH,2020,6,20,1.0,1.0
20200705X32345,2020-07-05,"Coeur d'Alene, ID",United States,,Fatal,Destroyed,Airplane,De Havilland,DHC-2,No,,,Business,Brooks Seaplane Service Inc,8.0,0.0,0.0,0.0,VMC,,Coeur D'Alene, ID,2020,7,5,8.0,0.0
20200713X11352,2020-07-08,"Venice, LA",United States,,Non-Fatal,Substantial,Helicopter,Robinson,R22,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,,,Venice, LA,2020,7,8,1.0,1.0
20200722X01318,2020-07-22,"Tomball, TX",United States,David Wayne Hooks Memorial,Non-Fatal,Substantial,Airplane,Rockwell,112,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,,Tomball, TX,2020,7,22,1.0,1.0
20200725X12606,2020-07-25,"San Antonio, TX",United States,STINSON MUNI,Fatal,Destroyed,Airplane,Piper,PA28,No,1.0,Reciprocating,Business,Robert Cole Perguson,1.0,0.0,2.0,0.0,,,San Antonio, TX,2020,7,25,3.0,0.6666666666666666
20200729X52602,2020-07-29,"Pioche, NV",United States,,Fatal,Destroyed,Airplane,American Eurocopter,AS350,No,,,Business,,2.0,0.0,0.0,0.0,VMC,,Pioche, NV,2020,7,29,2.0,0.0
20200730X63728,2020-07-30,"Ennis, MT",United States,,Fatal,Substantial,Airplane,Cessna,337,No,2.0,Reciprocating,Business,,1.0,0.0,2.0,0.0,VMC,,Ennis, MT,2020,7,30,3.0,0.6666666666666666
20200824X01445,2020-08-24,"Reno, NV",United States,Reno/Stead,Non-Fatal,Substantial,Airplane,Northrop,F5,No,2.0,Turbo Jet,Business,,0.0,0.0,0.0,1.0,VMC,,Reno, NV,2020,8,24,1.0,1.0
20200828X11258,2020-08-28,"Pembroke Park, FL",United States,,Fatal,Destroyed,Airplane,Rockwell,500,No,2.0,Reciprocating,Business,CONQUEST AIR,2.0,0.0,0.0,0.0,VMC,,Pembroke Park, FL,2020,8,28,2.0,0.0
20200909X50828,2020-08-30,"Lime Village, AK",United States,,Non-Fatal,Substantial,Airplane,Cessna,A185,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,3.0,VMC,,Lime Village, AK,2020,8,30,3.0,1.0
20200919X42745,2020-09-19,"Fort Lauderdale, FL",United States,Fort Lauderdale Executive,Non-Fatal,Substantial,Airplane,Piper,PA31,No,2.0,,Business,Island Air Charters,0.0,0.0,0.0,8.0,VMC,,Fort Lauderdale, FL,2020,9,19,8.0,1.0
